id_institution_subnet,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
526.0,0.0,0.0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,1.0,0.5693713359835021,True,7,True,3,False,0,False,0,True,6,True,2,False,0,False,0,True,4,True,2,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5214804742655229,0.5214804742655229,0.27643363832147894,0.27643363832147894,0.038799657591458314,0.009789596464258258,0.01831299127826842,0.0004274111655112751
354.0,0.9991811007990471,0.8004512128823882,True,6,True,3,True,1,False,0,True,5,True,2,True,1,False,0,True,4,True,2,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.522452327140314,0.522452327140314,0.23129088422504077,0.23129088422504077,0.19760662252649602,0.19760662252649602,0.0017420027742411975,0.0017420027742411975
246.0,0.9999255546180952,0.5604819922406474,True,5,True,4,False,0,False,0,True,5,True,2,False,0,False,0,True,2,True,2,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.47421386738792826,0.47421386738792826,0.23790756927282672,0.23790756927282672,0.09996550896916596,0.09996550896916596,0.0005099277276469338,0.0005099277276469338
101.0,0.8514070177180009,1.0,True,6,True,3,True,1,True,1,True,3,True,1,True,1,True,1,True,2,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7819959698703727,0.7819959698703727
339.0,0.5595314903965457,0.9756393401911294,True,9,True,7,True,2,True,1,True,10,True,6,True,1,True,1,True,8,True,4,True,1,False,0,True,7,True,3,False,0,False,0,True,6,True,3,False,0,False,0,True,7,True,1,False,0,False,0,True,5,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,0.9491040864630728,0.9491040864630728,0.6291105085590657,0.6291105085590657,0.2348294841376167,0.2348294841376167,0.17249169588056898,0.17249169588056898
106.0,1.0,0.3776033428870026,True,4,True,2,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.29490648071498304,0.29490648071498304,0.123332386690496,0.123332386690496,0.08907105483028988,0.031155967637046027,0.031155967637046027,0.031155967637046027
183.0,0.19028239614869225,3.053217805916341,True,8,True,3,True,3,True,1,True,7,True,4,True,3,True,1,True,5,True,4,True,3,True,1,True,5,True,4,True,3,True,1,True,5,True,4,True,3,True,1,True,5,True,3,True,3,True,1,True,5,True,3,True,1,False,0,True,5,True,3,True,1,False,0,True,5,True,3,False,0,False,0,True,4,True,3,False,0,False,0,True,3,True,2,False,0,False,0,2.32304016483117,2.32304016483117,1.2328162054128868,1.2328162054128868,0.49906130761684875,0.49906130761684875,0.38344945868760283,0.38344945868760283
80.0,0.9982381259615862,2.5366452421755943,True,11,True,6,False,3,False,1,True,13,True,6,False,1,False,0,True,13,True,6,False,1,False,0,True,13,True,4,False,0,False,0,True,12,True,4,False,0,False,0,True,11,True,4,False,0,False,0,True,10,False,3,False,0,False,0,True,10,False,3,False,0,False,0,True,10,False,2,False,0,False,0,True,10,False,2,False,0,False,0,True,8,False,1,False,0,False,0,1.8195741152436455,0.8567651210806101,0.6686422717301365,0.3845729791528396,0.22242896280600657,0.0467278571676898,0.14522416011866066,0.04270999595400672
201.0,0.9801230830314159,2.0022492661880666,True,10,True,5,True,2,True,2,True,10,True,5,True,2,True,2,True,10,True,5,True,2,True,2,True,10,True,5,True,2,True,1,True,10,True,3,True,2,True,1,True,10,True,2,True,1,True,1,True,10,True,3,False,0,False,0,True,9,True,3,False,0,False,0,True,8,True,2,False,0,False,0,True,6,True,1,False,0,False,0,True,5,True,1,False,0,False,0,1.0782926295486455,0.7404794178161281,0.6198492601221941,0.6198492601221941,0.3985635985466742,0.3985635985466742,0.3985635985466742,0.3985635985466742
