id_institution,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
2.0,0.9998511461744567,0.51552001209914,True,6,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.37146931972387337,0.37146931972387337,0.08208938638696998,0.07597777913778526,0.05593764510628184,0.0035234585624933134,0.0035234585624933134,0.0035234585624933134
218.0,0.9998511461744567,0.5761871443111666,True,8,True,3,False,0,False,0,True,4,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.43177106987815955,0.43177106987815955,0.16827152509481202,0.16827152509481202,0.04222687700971764,0.03034254962770322,0.003872042303810166,0.003662119036480515
215.0,0.9998511461744567,0.9527361385400439,True,8,True,4,True,2,False,1,True,6,True,3,True,2,False,0,True,5,True,2,True,1,False,0,True,3,True,2,True,1,False,0,True,3,True,2,True,1,False,0,True,3,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,0.6822216375103339,0.6822216375103339,0.5944837895849933,0.5944837895849933,0.31454932225944515,0.31454932225944515,0.13645043541872448,0.02731693212969052
170.0,0.9998511461744567,0.8446073682851117,True,8,False,1,False,0,False,0,True,4,False,1,False,0,False,0,True,4,False,1,False,0,False,0,True,2,False,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4101480244060282,0.38249350488759853,0.2762279535145768,0.0431134370045842,0.0790080182415264,0.0010996986950872424,0.027041453376479084,0.0010996986950872424
239.0,0.9980649002679369,0.8026743887657516,True,7,True,4,False,0,False,0,True,6,True,2,False,0,False,0,True,6,False,0,False,0,False,0,True,5,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.6179466940791278,0.6179466940791278,0.1828259108147951,0.167483679102008,0.09932523763329915,0.0025421661685682893,0.010170919061443367,0.0025421661685682893
232.0,0.9998511461744567,0.6638928217228318,True,10,True,4,False,0,False,0,True,6,True,3,False,0,False,0,True,3,True,2,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.43809815154603976,0.43809815154603976,0.24703821711689222,0.24703821711689222,0.007229112844329596,0.007229112844329596,0.0036964022506444077,0.0029711527831595627
155.0,0.9998511461744567,0.5778781382115333,True,4,True,3,False,0,False,0,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.392198409936917,0.392198409936917,0.16702910079992261,0.16702910079992261,0.09993779094129883,0.09993779094129883,0.006665956161066708,0.006665956161066708
245.0,0.9998511461744567,0.9845562032735405,True,13,True,4,False,0,False,0,True,12,True,1,False,0,False,0,True,9,False,0,False,0,False,0,True,7,False,0,False,0,False,0,True,7,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,False,3,False,0,False,0,False,0,False,1,False,0,False,0,False,0,0.6874089686965997,0.5060627500807475,0.17367827176210643,0.17367827176210643,0.06742388723119723,0.049899904032845784,0.03877646725871178,0.026754839752876562
195.0,0.9998511461744567,0.9166587622730746,True,11,True,4,True,1,False,0,True,6,True,3,False,0,False,0,True,5,True,2,False,0,False,0,True,4,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.585045061257456,0.5691914354691756,0.45524055842227396,0.45524055842227396,0.1430195227568138,0.1430195227568138,0.029528902951018197,0.0006377525631252834
27.0,0.9998511461744567,0.6023568643995828,True,6,True,5,True,1,False,0,True,5,True,4,False,0,False,0,True,4,True,3,False,0,False,0,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5139518639642792,0.5139518639642792,0.2526702089166015,0.2526702089166015,0.11169155345735364,0.11169155345735364,0.0019165232275105625,0.0019165232275105625
