id_institution_subnet,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
285.0,0.9997022923489134,0.5937132915912207,True,7,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4485291437056533,0.4485291437056533,0.1665444603046921,0.1665444603046921,0.014016652376387741,0.008220884848387273,0.008220884848387273,0.008220884848387273
477.0,0.9998511461744567,0.9549766678919409,True,8,True,4,True,1,False,0,True,6,True,3,False,0,False,0,True,6,True,3,False,0,False,0,True,4,True,2,False,0,False,0,True,4,True,2,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.749365488512812,0.6817302328815855,0.3328160230230161,0.3237801796094772,0.13651459025328272,0.13651459025328272,0.010344396155489544,0.010344396155489544
152.0,0.9998511461744567,0.5408491109468042,True,5,False,2,False,0,False,0,True,5,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4224079047690773,0.4224079047690773,0.13579253734093258,0.09330613770941197,0.014946662721011179,0.005719196463923249,0.005719196463923249,0.005719196463923249
420.0,0.9998511461744567,1.3870585376533222,True,8,True,3,True,2,True,1,True,7,True,3,True,2,True,1,True,6,True,3,True,2,True,1,True,6,True,3,True,2,True,1,True,6,True,3,True,1,False,0,True,6,False,0,False,0,False,0,True,5,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,1,False,0,False,0,False,0,0.7076349874651506,0.5957144920219408,0.3490803768121842,0.3004297856942212,0.3004297856942212,0.3004297856942212,0.2683619321885652,0.2683619321885652
421.0,0.9409050312593034,0.9992249416068345,True,15,True,2,False,0,False,0,True,12,True,2,False,0,False,0,True,9,True,1,False,0,False,0,True,7,True,1,False,0,False,0,True,5,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.8800085061227003,0.8800085061227003,0.48521461099608915,0.48521461099608915,0.05511964898473161,0.026907636664522304,0.05511964898473161,0.006370098655294967
502.0,0.9998511461744567,0.9845562032735405,True,13,True,4,False,0,False,0,True,12,True,1,False,0,False,0,True,9,False,0,False,0,False,0,True,7,False,0,False,0,False,0,True,7,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,False,3,False,0,False,0,False,0,False,1,False,0,False,0,False,0,0.6874089686965997,0.5060627500807475,0.17367827176210643,0.17367827176210643,0.06742388723119723,0.049899904032845784,0.03877646725871178,0.026754839752876562
239.0,0.9998511461744567,0.3971506888317784,True,4,True,1,True,1,False,0,True,3,True,1,True,1,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.33980411141467703,0.33980411141467703,0.17598193330019432,0.17598193330019432,0.16825390853260697,0.16825390853260697,0.05684461176484241,0.05684461176484241
278.0,0.9997022923489134,0.4242742472606517,True,8,True,3,True,1,False,0,True,4,False,1,False,0,False,0,True,2,False,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.3604885207515011,0.3604885207515011,0.21473029286002407,0.14256236570032468,0.10456093374458661,0.10456093374458661,0.018196350225366278,0.018196350225366278
18.0,0.5254540041679071,3.428571428571429,True,9,True,5,False,2,False,2,True,9,True,3,False,2,False,2,True,8,False,2,False,2,False,2,True,8,False,2,False,2,False,2,True,6,False,2,False,2,False,2,True,5,False,2,False,2,False,2,False,3,False,2,False,2,False,2,False,3,False,2,False,2,False,1,False,3,False,2,False,2,False,1,False,2,False,2,False,2,False,1,False,2,False,2,False,2,False,1,3.428571428571428,0.3561965097214546,1.6234934648654946,0.16142102522872068,0.8731063891843236,0.05178207200407651,0.83725192912584,0.004906565188346164
170.0,0.9998511461744567,0.40318310912199484,True,7,True,4,True,2,False,0,True,5,True,2,False,0,False,0,True,5,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.3085830285812072,0.3085830285812072,0.17263575580036436,0.1586490477342946,0.11808689583379964,0.11808689583379964,0.019205789487269916,0.007960634660982985
